title,link,category,publication_time,readers
"Gate.io Opens Fractal Bitcoin (FB) Deposits: Deposit Now to Share $20,000 Rewards",https://www.gate.io/announcements/article/39173,Activities,10 hours 38 min 10 sec ago,9316
"New Airdrop Project “NeiroETH” in Gate Web3 Tasks: Share 30,000 $NEIRO Tokens, Complete All Tasks to Win a Chance to Receive Rewards!",https://www.gate.io/announcements/article/39161,Activities,16 hours 37 min 56 sec ago,2085
"Gate.io Convert Trading Blitz #2: Dive into the $10,000 Prize Pool with 0 Trading Fees",https://www.gate.io/announcements/article/39159,Activities,17 hours 11 min 20 sec ago,3430
"Gate.io HMSTR Trading League: Form a Team, Trade to Split $15,000",https://www.gate.io/announcements/article/39152,Activities,19 hours 59 min 27 sec ago,3385
"Gate.io Answer & Earn: Take the Quiz on Spectral (SPEC) to Share 1,304 SPEC Prizes",https://www.gate.io/announcements/article/39149,Activities,22 hours 11 min 42 sec ago,6404
Gate Web3 Tasks PoP Planet Airdrop Project Award Results,https://www.gate.io/announcements/article/39135,Activities,1 day ago,2505
Gate Web3 Tasks Over Protocol Airdrop Project Award Results,https://www.gate.io/announcements/article/39134,Activities,1 day ago,2195
"Gate.io Answer & Earn: Take the Quiz on ELYSIA(EL) to Share 300,000 EL Prizes",https://www.gate.io/announcements/article/39132,Activities,1 day ago,6961
Gate.io Lock USDT & Earn: 150% APR Exclusively for New Users,https://www.gate.io/announcements/article/39128,Activities,1 day ago,3433
📢 [Product Update] Gate.io Bots Upgrade: Keep up With Market Trends to Win Big!,https://www.gate.io/announcements/article/39127,Activities,1 day ago,3692
"Gate.io Answer & Earn: Take the Quiz on Catizen (CATI) to Share $50,000 CATI Prizes",https://www.gate.io/announcements/article/39125,Activities,1 day ago,37294
"Gate Learn Daily Study Challenge: Study, Quiz, and Compete for a $10,000 Prize Pool！",https://www.gate.io/announcements/article/39122,Activities,1 day ago,1698
"Gate.io Animal Meme Frenzy: CATI vs. HMSTR, Ally Up and Win $50,000 Prizes",https://www.gate.io/announcements/article/39118,Activities,2 day ago,11806
"Gate.io Bi-Weekly Report (August 16-31, 2024)",https://www.gate.io/announcements/article/38963,Bi-Weekly Report,2024-09-02 UTC,2980
"Gate.io Bi-Weekly Report (August 1-15, 2024)",https://www.gate.io/announcements/article/38636,Bi-Weekly Report,2024-08-17 UTC,9561
"Gate.io Bi-Weekly Report (July 16-31, 2024)",https://www.gate.io/announcements/article/38317,Bi-Weekly Report,2024-08-01 UTC,10100
"Gate.io Bi-Weekly Report (July 1-15, 2024)",https://www.gate.io/announcements/article/37932,Bi-Weekly Report,2024-07-17 UTC,7932
"Gate.io Bi-Weekly Report (June 16-30, 2024)",https://www.gate.io/announcements/article/37599,Bi-Weekly Report,2024-07-02 UTC,7093
"Gate.io Bi-Weekly Report (June 1-15, 2024)",https://www.gate.io/announcements/article/37292,Bi-Weekly Report,2024-06-17 UTC,5549
"Gate.io Bi-Weekly Report (May 16-31, 2024)",https://www.gate.io/announcements/article/36944,Bi-Weekly Report,2024-06-02 UTC,15337
Earn 30 USDT Cashback with Bank Transfer on Gate Connect!,https://www.gate.io/announcements/article/36677,Bi-Weekly Report,2024-05-20 UTC,196859
"Gate.io Bi-Weekly Report (May 1-15, 2024)",https://www.gate.io/announcements/article/36627,Bi-Weekly Report,2024-05-16 UTC,11108
"Gate.io Bi-Weekly Report (April 16-30, 2024)",https://www.gate.io/announcements/article/36345,Bi-Weekly Report,2024-05-01 UTC,11555
"Gate.io Bi-Weekly Report (April 1-15, 2024)",https://www.gate.io/announcements/article/35969,Bi-Weekly Report,2024-04-16 UTC,17922
"Gate.io Bi-Weekly Report (March 16-31, 2024)",https://www.gate.io/announcements/article/35596,Bi-Weekly Report,2024-04-02 UTC,18423
"Gate.io Bi-Weekly Report (March 01-15, 2024)",https://www.gate.io/announcements/article/35155,Bi-Weekly Report,2024-03-16 UTC,20147
"Gate.io Bi-Weekly Report (February 16-29, 2024)",https://www.gate.io/announcements/article/34820,Bi-Weekly Report,2024-03-01 UTC,14778
"Gate.io Bi-Weekly Report (February 01-15, 2024)",https://www.gate.io/announcements/article/34624,Bi-Weekly Report,2024-02-19 UTC,16349
Gate.io Unified Account to Launch the Fourth Batch of Tiered Borrowing Maintenance Margin Rate on September 12th,https://www.gate.io/announcements/article/39147,Institutional & VIP,1 day ago,3815
"SOCCER2050 Match: The Prediction Game is Live, Exciting Showdown Await",https://www.gate.io/announcements/article/39145,Institutional & VIP,1 day ago,4832
SOCCER2050 On-site Audience Recruitment,https://www.gate.io/announcements/article/39117,Institutional & VIP,2 day ago,10016
SOCCER2050 - Player Recruitment is ON!,https://www.gate.io/announcements/article/39035,Institutional & VIP,2024-09-04 UTC,19279
Gate.io Unified Account to Launch the Third Batch of Tiered Borrowing Maintenance Margin Rate on August 28th,https://www.gate.io/announcements/article/38815,Institutional & VIP,2024-08-26 UTC,3444
Gate.io VIP Customer Referral Program Continues: Enjoy High Commission + Unlimited Cash Reward,https://www.gate.io/announcements/article/38747,Institutional & VIP,2024-08-21 UTC,8726
Gate.io Unified Account Adds New Collateral Coins on August 21st,https://www.gate.io/announcements/article/38720,Institutional & VIP,2024-08-21 UTC,3865
Gate Global Taker Incentive Program: Futures & Spot Taker Rates Update (2024.9.1),https://www.gate.io/announcements/article/38656,Institutional & VIP,2024-08-19 UTC,4894
"New Gate.io VIP Upgrade, Participate in the Ultimate Experience with the Lowest 0% Fee!",https://www.gate.io/announcements/article/38570,Institutional & VIP,2024-08-14 UTC,38277
GMMC Market Maker Program - Updates to Trading Pairs and Quoting Requirements,https://www.gate.io/announcements/article/38434,Institutional & VIP,2024-08-07 UTC,3585
Gate.io API Rate Limit Policy Update for Enhanced Perpetual Futures Trading,https://www.gate.io/announcements/article/38255,Institutional & VIP,2024-07-30 UTC,7808
"5th API Trading Carnival Launches, Win $100,000 Bonus +  iPhone 15 Pro Max!",https://www.gate.io/announcements/article/37952,Institutional & VIP,2024-07-18 UTC,5334
"Gate Institutional Loan Program, with up to $10 Million Interest-Free Loans for VIP clients",https://www.gate.io/announcements/article/37720,Institutional & VIP,2024-07-08 UTC,12624
"Gate.io Broker Program Continues, Exclusive Commission Rebate Offer!",https://www.gate.io/announcements/article/37715,Institutional & VIP,2024-07-05 UTC,18714
Gate.io Unified Account to Launch the Second Batch of Tiered Borrowing Maintenance Margin Rate on July 11th,https://www.gate.io/announcements/article/37645,Institutional & VIP,2024-07-03 UTC,7629
"Gate Research: Bitcoin Mining Difficulty Hits All-Time High, ENS Partners with PayPal",https://www.gate.io/announcements/article/39174,Gate Learn,10 hours 33 min 33 sec ago,2663
"Gate Research：Bitcoin Rebounds Today, Friend.Tech Under Fire for Soft Rug",https://www.gate.io/announcements/article/39142,Gate Learn,1 day ago,2574
"Gate Learn Must Read ! Pixelverse, Hoge Finance, On-Chain Games, Khalani, and Arweave",https://www.gate.io/announcements/article/39137,Gate Learn,1 day ago,3389
Gate Learn New Courses is Live ! L2 Deep Dives: Myria (MYRIA),https://www.gate.io/announcements/article/39123,Gate Learn,1 day ago,2300
"Gate Research: Crypto Market Fluctuates at Low Levels, U.S. Stock Indexes Fall, Fractal Bitcoin Mainnet Launches",https://www.gate.io/announcements/article/39121,Gate Learn,2 day ago,3501
Gate Learn New Courses is Live ! Introduction to Telos,https://www.gate.io/announcements/article/39102,Gate Learn,2 day ago,2678
"Gate Learn Must Read ! ZKThreads, Gamium, Karat, Sanctum, and Wing Finance",https://www.gate.io/announcements/article/39072,Gate Learn,5 day ago,3132
"Gate Research: BTC and ETH Weakened Amid September Effect, Ethervista Trading Volume Surpasses $100 Million",https://www.gate.io/announcements/article/39063,Gate Learn,6 day ago,5659
Gate Learn Weekly Picks,https://www.gate.io/announcements/article/39057,Gate Learn,6 day ago,6774
"Gate Research: Ethereum Mainnet Revenue Drops by 99%, Expectations for Bank of Japan Rate Hike Heats Up",https://www.gate.io/announcements/article/39037,Gate Learn,2024-09-04 UTC,6952
Gate Research: Bitcoin Rebound Boosts General Rise in the Inscription and Other Sectors; Pendle eBTC Yield Leads the Market,https://www.gate.io/announcements/article/39018,Gate Learn,2024-09-04 UTC,2379
"Gate Research: Symbiotic TVL Surpasses $1.5 Billion, BlackRock’s BTC Spot ETF Records Net Outflows in a Day",https://www.gate.io/announcements/article/38988,Gate Learn,2024-09-02 UTC,3183
